timestamp, name, index, pstate, clocks.current.graphics [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%], power.draw [W]
2025/11/17 00:19:51.284, NVIDIA A100-SXM4-40GB, 0, P0, 1095 MHz, 1215 MHz, 0 %, 0 %, 59.69 W
2025/11/17 00:19:51.498, NVIDIA A100-SXM4-40GB, 0, P0, 1095 MHz, 1215 MHz, 0 %, 0 %, 59.42 W
2025/11/17 00:19:51.704, NVIDIA A100-SXM4-40GB, 0, P0, 1095 MHz, 1215 MHz, 0 %, 0 %, 59.69 W
2025/11/17 00:19:51.910, NVIDIA A100-SXM4-40GB, 0, P0, 1095 MHz, 1215 MHz, 0 %, 0 %, 59.69 W
2025/11/17 00:19:52.120, NVIDIA A100-SXM4-40GB, 0, P0, 1095 MHz, 1215 MHz, 0 %, 0 %, 59.57 W
2025/11/17 00:19:52.326, NVIDIA A100-SXM4-40GB, 0, P0, 1095 MHz, 1215 MHz, 0 %, 0 %, 59.63 W
2025/11/17 00:19:52.532, NVIDIA A100-SXM4-40GB, 0, P0, 375 MHz, 1215 MHz, 0 %, 0 %, 53.83 W
2025/11/17 00:19:52.740, NVIDIA A100-SXM4-40GB, 0, P0, 345 MHz, 1215 MHz, 0 %, 0 %, 54.15 W
2025/11/17 00:19:52.948, NVIDIA A100-SXM4-40GB, 0, P0, 1095 MHz, 1215 MHz, 3 %, 0 %, 60.88 W
2025/11/17 00:19:53.157, NVIDIA A100-SXM4-40GB, 0, P0, 1095 MHz, 1215 MHz, 8 %, 0 %, 59.75 W
2025/11/17 00:19:53.363, NVIDIA A100-SXM4-40GB, 0, P0, 1095 MHz, 1215 MHz, 0 %, 0 %, 59.63 W
2025/11/17 00:19:53.570, NVIDIA A100-SXM4-40GB, 0, P0, 1095 MHz, 1215 MHz, 0 %, 0 %, 59.63 W
2025/11/17 00:19:53.776, NVIDIA A100-SXM4-40GB, 0, P0, 1095 MHz, 1215 MHz, 0 %, 0 %, 59.69 W
2025/11/17 00:19:53.982, NVIDIA A100-SXM4-40GB, 0, P0, 1095 MHz, 1215 MHz, 0 %, 0 %, 59.89 W
2025/11/17 00:19:54.189, NVIDIA A100-SXM4-40GB, 0, P0, 1095 MHz, 1215 MHz, 0 %, 0 %, 59.95 W
2025/11/17 00:19:54.397, NVIDIA A100-SXM4-40GB, 0, P0, 315 MHz, 1215 MHz, 0 %, 0 %, 59.95 W
2025/11/17 00:19:54.605, NVIDIA A100-SXM4-40GB, 0, P0, 285 MHz, 1215 MHz, 0 %, 0 %, 53.89 W
2025/11/17 00:19:54.812, NVIDIA A100-SXM4-40GB, 0, P0, 255 MHz, 1215 MHz, 0 %, 0 %, 53.89 W
2025/11/17 00:19:55.021, NVIDIA A100-SXM4-40GB, 0, P0, 240 MHz, 1215 MHz, 0 %, 0 %, 54.15 W
2025/11/17 00:19:55.227, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.89 W
2025/11/17 00:19:55.434, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.77 W
2025/11/17 00:19:55.641, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.89 W
2025/11/17 00:19:55.848, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.72 W
2025/11/17 00:19:56.054, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.83 W
2025/11/17 00:19:56.261, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.50 W
2025/11/17 00:19:56.470, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.83 W
2025/11/17 00:19:56.676, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.38 W
2025/11/17 00:19:56.882, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.72 W
2025/11/17 00:19:57.088, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.83 W
2025/11/17 00:19:57.296, NVIDIA A100-SXM4-40GB, 0, P0, 210 MHz, 1215 MHz, 0 %, 0 %, 53.72 W
